Year,Statistic,Name,Team,#
2000,Base on Balls,Barry Bonds,San Francisco,117
2000,Batting Average,Todd Helton,Colorado,.372
2000,Doubles,Todd Helton,Colorado,59
2000,Hits,Todd Helton,Colorado,216
2000,Home Runs,Sammy Sosa,Chicago,50
2000,On Base Percentage,Todd Helton,Colorado,.463
2000,RBI,Todd Helton,Colorado,147
2000,Runs,Jeff Bagwell,Houston,152
2000,Slugging Average,Todd Helton,Colorado,.698
2000,Stolen Bases,Luis Castillo,Florida,62
2000,Total Bases,Todd Helton,Colorado,405
2000,Triples,Tony Womack,Arizona,14
2000,Statistic,Name,Team,#
