Year,Statistic,Name,Team,#
1995,Base on Balls,Barry Bonds,San Francisco,120
1995,Batting Average,Tony Gwynn,San Diego,.368
1995,Doubles,Mark Grace,Chicago,51
1995,Hits,Dante Bichette,Colorado,197
1995,Home Runs,Dante Bichette,Colorado,40
1995,On Base Percentage,Barry Bonds,San Francisco,.434
1995,RBI,Dante Bichette,Colorado,128
1995,Runs,Craig Biggio,Houston,123
1995,Slugging Average,Dante Bichette,Colorado,.620
1995,Stolen Bases,Quilvio Veras,Florida,56
1995,Total Bases,Dante Bichette,Colorado,359
1995,Triples,Brett Butler,New York,9
1995,Statistic,Name,Team,#
