Year,Statistic,Name,Team,#
1966,Base on Balls,Ron Santo,Chicago,95
1966,Batting Average,Matty Alou,Pittsburgh,.342
1966,Doubles,Johnny Callison,Philadelphia,40
1966,Hits,Felipe Alou,Atlanta,218
1966,Home Runs,Hank Aaron,Atlanta,44
1966,On Base Percentage,Ron Santo,Chicago,.417
1966,RBI,Hank Aaron,Atlanta,127
1966,Runs,Felipe Alou,Atlanta,122
1966,Slugging Average,Dick Allen,Philadelphia,.632
1966,Stolen Bases,Lou Brock,St. Louis,74
1966,Total Bases,Felipe Alou,Atlanta,355
1966,Triples,Tim McCarver,St. Louis,13
1966,Statistic,Name(s),Team(s),#
