Year,Statistic,Name,Team,#
1885,Base on Balls,Ned Williamson,Chicago,75
1885,Batting Average,Roger Connor,New York,.371
1885,Doubles,Cap Anson,Chicago,35
1885,Hits,Roger Connor,New York,169
1885,Home Runs,Abner Dalrymple,Chicago,11
1885,On Base Percentage,Roger Connor,New York,.435
1885,RBI,Cap Anson,Chicago,108
1885,Runs,King Kelly,Chicago,124
1885,Slugging Average,Dan Brouthers,Buffalo,.543
1885,Total Bases,Roger Connor,New York,225
1885,Triples,Jim O'Rourke,New York,16
1885,Statistic,Name(s),Team(s),#
