Year,Statistic,Name,Team,#
2018,Base on Balls,Bryce Harper,Washington Nationals,130
2018,Batting Average,Christian Yelich,Milwaukee Brewers,.326
2018,Doubles,Freddie Freeman,Atlanta Braves,44
2018,Hits,Freddie Freeman,Atlanta Braves,191
2018,Home Runs,Nolan Arenado,Colorado Rockies,38
2018,On Base Percentage,Joey Votto,Cincinnati Reds,.417
2018,RBI,Javier Baez,Chicago Cubs,111
2018,Runs,Charlie Blackmon,Colorado Rockies,119
2018,Slugging Average,Christian Yelich,Milwaukee Brewers,.598
2018,Stolen Bases,Trea Turner,Washington Nationals,43
2018,Total Bases,Christian Yelich,Milwaukee Brewers,343
2018,Triples,Ketel Marte,Arizona Diamondbacks,12
2018,Statistic,Name,Team,#
