Date,Description,Year
February 9,", Major League Baseball announced that the following two temporary rule changes from the 2020 season would continue in 2021: Doubleheaders would be played as two seven-inning games, and, a runner will be placed on second base at the start of every half-inning of a game that goes into extra innings.",2021
August 12,", the MLB at Field of Dreams game, which was originally scheduled for 2020, but cancelled due to the COVID-19 pandemic, featured a matchup between the New York Yankees and the Chicago White Sox at a purpose-built ballpark in Dyersville, Iowa.",2021
April 9,", Joe Musgrove threw a no-hitter — the first no-hitter in the 53-year history of the San Diego Padres. Musgrove struck out 10 batters and did not walk a batter, throwing 77 of his 112 pitches as strikes. When Musgrove hit Joey Gallo with a pitch in the fourth inning, it ended his bid for a perfect game.",2021
