Year,Statistic,Name,Team,#
1992,Base on Balls,Barry Bonds,Pittsburgh,127
1992,Batting Average,Gary Sheffield,San Diego,.330
1992,Doubles,Andy Van Slyke,Pittsburgh,45
1992,Hits,Terry Pendleton,Atlanta,199
1992,Home Runs,Fred McGriff,San Diego,35
1992,On Base Percentage,Barry Bonds,Pittsburgh,.461
1992,RBI,Darren Daulton,Philadelphia,109
1992,Runs,Barry Bonds,Pittsburgh,109
1992,Slugging Average,Barry Bonds,Pittsburgh,.624
1992,Stolen Bases,Marquis Grissom,Montreal,78
1992,Total Bases,Gary Sheffield,San Diego,323
1992,Triples,Deion Sanders,Atlanta,14
1992,Statistic,Name,Team,#
