Year,Statistic,Name,Team,#
2003,Base on Balls,Barry Bonds,San Francisco,148
2003,Batting Average,Albert Pujols,St. Louis,.359
2003,Doubles,Albert Pujols,St. Louis,51
2003,Hits,Albert Pujols,St. Louis,212
2003,Home Runs,Jim Thome,Philadelphia,47
2003,On Base Percentage,Barry Bonds,San Francisco,.529
2003,RBI,Preston Wilson,Colorado,141
2003,Runs,Albert Pujols,St. Louis,137
2003,Slugging Average,Barry Bonds,San Francisco,.749
2003,Stolen Bases,Juan Pierre,Florida,45
2003,Total Bases,Albert Pujols,St. Louis,394
2003,Triples,Steve Finley,Arizona,10
2003,Statistic,Name,Team,#
