Date,Description,Year
September 11,"the world changed forever as two hijacked airplanes were flown into the World Trade Center's twin towers and a third airplane hit the Pentagon in Washington DC. A fourth plane was brought down before reaching its intended target by a heroic group of passengers in a field in western Pennsylvania. In the end, over 3,300 innocent people were killed and the United States along with a coalition of over sixty countries declared war on terrorism.",2001
October 4,", the Cincinnati Reds were shutout 5-to-0 by the New York Mets in a one game playoff that cost them a postseason berth. The Reds were not shutout again, for a National League record 208 games, until May 24, 2001 when the Chicago Cubs beat them 3-to-0 behind a 1 hit / 1 walk Jon Leiber gem.",2001
