Year,Statistic,Name,Team,#
1948,Base on Balls,Bob Elliott,Boston,131
1948,Batting Average,Stan Musial,St. Louis,.376
1948,Doubles,Stan Musial,St. Louis,46
1948,Hits,Stan Musial,St. Louis,230
1948,Home Runs,Ralph Kiner,Pittsburgh,40
1948,On Base Percentage,Stan Musial,St. Louis,.450
1948,RBI,Stan Musial,St. Louis,131
1948,Runs,Stan Musial,St. Louis,135
1948,Slugging Average,Stan Musial,St. Louis,.702
1948,Stolen Bases,Richie Ashburn,Philadelphia,32
1948,Total Bases,Stan Musial,St. Louis,429
1948,Triples,Stan Musial,St. Louis,18
1948,Statistic,Name(s),Team(s),#
