Year,Statistic,Name,Team,#
1961,Base on Balls,Eddie Mathews,Milwaukee,93
1961,Batting Average,Roberto Clemente,Pittsburgh,.351
1961,Doubles,Hank Aaron,Milwaukee,39
1961,Hits,Vada Pinson,Cincinnati,208
1961,Home Runs,Orlando Cepeda,San Francisco,46
1961,On Base Percentage,Wally Moon,Los Angeles,.438
1961,RBI,Orlando Cepeda,San Francisco,142
1961,Runs,Willie Mays,San Francisco,129
1961,Slugging Average,Frank Robinson,Cincinnati,.611
1961,Stolen Bases,Maury Wills,Los Angeles,35
1961,Total Bases,Hank Aaron,Milwaukee,358
1961,Triples,George Altman,Chicago,12
1961,Statistic,Name(s),Team(s),#
