Year,Statistic,Name,Team,#
1963,Complete Games,Warren Spahn,Milwaukee,22
1963,ERA,Sandy Koufax,Los Angeles,1.88
1963,Games,Ron Perranoski,Los Angeles,69
1963,Saves,Lindy McDaniel,Chicago,22
1963,Shutouts,Sandy Koufax,Los Angeles,11
1963,Strikeouts,Sandy Koufax,Los Angeles,306
1963,Winning Percentage,Ron Perranoski,Los Angeles,.842
1963,Wins,Sandy Koufax,Los Angeles,25
1963,Statistic,Name(s),Team(s),#
