Date,Description,Year
April 16,"th, a crowd of approximately one-hundred people (out of four-thousand) was injured after a fire broke out (from a lit cigar) in the grandstands of Sportsman Park in St. Louis during a game between the Browns and visiting Chicago Orphans. In a half-hours time, the entire bleachers and left field stands were completely destroyed.",1898
July 5,"th, Lizzie Arlington became the first woman ever to play in an organized baseball game after pitching a single inning for Reading in the Eastern League. Atlantic League president Ed Barrow later hired her to participate in exhibition games around the country.",1898
April 22,", Ted Breitenstein tossed a no-hit game versus Pittsburgh. In Baltimore, rookie Jay Hughes, in only his second start, no-hit Boston and this became the first time in Major League history when two no-hitters were tossed on the same date!",1898
