Year,Statistic,Name,Team,#
1937,Base on Balls,Mel Ott,New York,102
1937,Batting Average,Joe Medwick,St. Louis,.374
1937,Doubles,Joe Medwick,St. Louis,56
1937,Hits,Joe Medwick,St. Louis,237
1937,Home Runs,Joe Medwick,St. Louis,31
1937,On Base Percentage,Mel Ott,New York,.442
1937,RBI,Joe Medwick,St. Louis,154
1937,Runs,Joe Medwick,St. Louis,111
1937,Slugging Average,Joe Medwick,St. Louis,.641
1937,Stolen Bases,Augie Galan,Chicago,23
1937,Total Bases,Joe Medwick,St. Louis,406
1937,Triples,Arky Vaughan,Pittsburgh,17
1937,Statistic,Name(s),Team(s),#
