Year,Statistic,Name,Team,#
1964,Base on Balls,Ron Santo,Chicago,86
1964,Batting Average,Roberto Clemente,Pittsburgh,.339
1964,Doubles,Lee Maye,Milwaukee,44
1964,Hits,Roberto Clemente,Pittsburgh,211
1964,Home Runs,Willie Mays,San Francisco,47
1964,On Base Percentage,Ron Santo,Chicago,.401
1964,RBI,Ken Boyer,St. Louis,119
1964,Runs,Dick Allen,Philadelphia,125
1964,Slugging Average,Willie Mays,San Francisco,.607
1964,Stolen Bases,Maury Wills,Los Angeles,53
1964,Total Bases,Dick Allen,Philadelphia,352
1964,Triples,Dick Allen,Philadelphia,13
1964,Statistic,Name(s),Team(s),#
