Year,Statistic,Name,Team,#
1952,Base on Balls,Ralph Kiner,Pittsburgh,110
1952,Batting Average,Stan Musial,St. Louis,.336
1952,Doubles,Stan Musial,St. Louis,42
1952,Hits,Stan Musial,St. Louis,194
1952,Home Runs,Ralph Kiner,Pittsburgh,37
1952,On Base Percentage,Jackie Robinson,Brooklyn,.440
1952,RBI,Hank Sauer,Chicago,121
1952,Runs,Solly Hemus,St. Louis,105
1952,Slugging Average,Stan Musial,St. Louis,.538
1952,Stolen Bases,Pee Wee Reese,Brooklyn,30
1952,Total Bases,Stan Musial,St. Louis,311
1952,Triples,Bobby Thomson,New York,14
1952,Statistic,Name(s),Team(s),#
