Year,Statistic,Name,Team,#
1951,Base on Balls,Ralph Kiner,Pittsburgh,137
1951,Batting Average,Stan Musial,St. Louis,.355
1951,Doubles,Alvin Dark,New York,41
1951,Hits,Richie Ashburn,Philadelphia,221
1951,Home Runs,Ralph Kiner,Pittsburgh,42
1951,On Base Percentage,Ralph Kiner,Pittsburgh,.452
1951,RBI,Monte Irvin,New York,121
1951,Runs,Ralph Kiner,Pittsburgh,124
1951,Slugging Average,Ralph Kiner,Pittsburgh,.627
1951,Stolen Bases,Sam Jethroe,Boston,35
1951,Total Bases,Stan Musial,St. Louis,355
1951,Triples,Gus Bell,Pittsburgh,12
1951,Statistic,Name(s),Team(s),#
