Year,Statistic,Name,Team,#
1949,Base on Balls,Ralph Kiner,Pittsburgh,117
1949,Batting Average,Jackie Robinson,Brooklyn,.342
1949,Doubles,Stan Musial,St. Louis,41
1949,Hits,Stan Musial,St. Louis,207
1949,Home Runs,Ralph Kiner,Pittsburgh,54
1949,On Base Percentage,Stan Musial,St. Louis,.438
1949,RBI,Ralph Kiner,Pittsburgh,127
1949,Runs,Pee Wee Reese,Brooklyn,132
1949,Slugging Average,Ralph Kiner,Pittsburgh,.658
1949,Stolen Bases,Jackie Robinson,Brooklyn,37
1949,Total Bases,Stan Musial,St. Louis,382
1949,Triples,Stan Musial,St. Louis,13
1949,Statistic,Name(s),Team(s),#
