Date,Description,Year
May 11,"th, Sam Crawford of the Detroit Tigers broke Boston Red Sox ace Cy Young's consecutive streak of no-hit innings at 24 1/3 (seventy-six batters without a hit) after managing a one-out single en route to a 1-0 victory.",1904
September 15,", Hooks Wiltse won his twelfth consecutive game of his rookie season. Did you know that Butch Metzger tied this record for games won at the start of his career in 1976?",1904
