Date,Description,Year
July 26,"th, U.S. President Jimmy Carter signed the Trade Act Bill in response to trade negotiations with Tokyo. The bill reduced further tariffs on a wide range of items, and introduced a new policy to handle unfair trade practices.",1979
April 5,"th, the Baltimore Orioles defeated the Chicago White Sox 5-3 giving Earl Weaver his one-thousandth career win as a Major League skipper.",1979
July 24,"th, Red Sox sensation Carl Yastrzemski hit his four-hundredth career home run off of the Oakland A's Mike Morgan at Fenway Park. On September 12th, ""The Yaz"" totaled his three-thousandth hit becoming the first American League player to tally both numbers.",1979
May 17,"th, the forty-five day umpires strike concluded after fourteen hours of negotiation. The official's new agreement included a pay increase of approximately $7,000, a heightened cap on maximum salaries from $40,000 to $50,000, two weeks of vacation during the regular season and improved pension benefits. One controversial issue remained though as the league presidents voted to add some of the replacement umpires to the regular roster.",1979
April 16,", Bob Forsch pitched a no-hit game for the St. Louis Cardinals. On April 7, 1979, Ken Forsch of the Astros struck out 5, issued 2 bases on balls, and did not allow a single Brave to get a hit making the Forsch brothers the first in Major League history to toss no-hitters.",1979
June 24,", Bob Watson hit for the cycle with the Houston Astros. On September 15, 1978, Watson hit for the cycle with the Red Sox making him the first Major League player to complete the cycle in each modern league.",1979
