Year,Statistic,Name,Team,#
1950,Base on Balls,Eddie Stanky,New York,144
1950,Batting Average,Stan Musial,St. Louis,.346
1950,Doubles,Red Schoendienst,St. Louis,43
1950,Hits,Duke Snider,Brooklyn,199
1950,Home Runs,Ralph Kiner,Pittsburgh,47
1950,On Base Percentage,Eddie Stanky,New York,.460
1950,RBI,Del Ennis,Philadelphia,126
1950,Runs,Earl Torgeson,Boston,120
1950,Slugging Average,Stan Musial,St. Louis,.596
1950,Stolen Bases,Sam Jethroe,Boston,35
1950,Total Bases,Duke Snider,Brooklyn,343
1950,Triples,Richie Ashburn,Philadelphia,14
1950,Statistic,Name(s),Team(s),#
