Year,Statistic,Name,Team,#
1895,Base on Balls,Billy Hamilton,Philadelphia,96
1895,Batting Average,Jesse Burkett,Cleveland,.409
1895,Doubles,Ed Delahanty,Philadelphia,49
1895,Hits,Jesse Burkett,Cleveland,225
1895,Home Runs,Sam Thompson,Philadelphia,18
1895,On Base Percentage,Ed Delahanty,Philadelphia,.500
1895,RBI,Sam Thompson,Philadelphia,165
1895,Runs,Billy Hamilton,Philadelphia,166
1895,Slugging Average,Sam Thompson,Philadelphia,.654
1895,Stolen Bases,Billy Hamilton,Philadelphia,97
1895,Total Bases,Sam Thompson,Philadelphia,352
1895,Triples,Kip Selbach,Washington,22
1895,Statistic,Name(s),Team(s),#
