Year,Statistic,Name,Team,#
1981,Base on Balls,Mike Schmidt,Philadelphia,73
1981,Batting Average,Bill Madlock,Pittsburgh,.341
1981,Doubles,Bill Buckner,Chicago,35
1981,Hits,Pete Rose,Philadelphia,140
1981,Home Runs,Mike Schmidt,Philadelphia,31
1981,On Base Percentage,Mike Schmidt,Philadelphia,.439
1981,RBI,Mike Schmidt,Philadelphia,91
1981,Runs,Mike Schmidt,Philadelphia,78
1981,Slugging Average,Mike Schmidt,Philadelphia,.644
1981,Stolen Bases,Tim Raines,Montreal,71
1981,Total Bases,Mike Schmidt,Philadelphia,.228
1981,Triples,Craig Reynolds,Houston,12
1981,Statistic,Name(s),Team(s),#
