Year,Statistic,Name,Team,#
1882,Complete Games,Jim McCormick,Cleveland,65
1882,ERA,Larry Corcoran,Chicago,1.95
1882,Games,Jim McCormick,Cleveland,68
1882,Saves,John Ward,Providence,1
1882,Shutouts,Old Hoss Radbourn,Providence,6
1882,Strikeouts,Old Hoss Radbourn,Providence,201
1882,Winning Percentage,Larry Corcoran,Chicago,.692
1882,Wins,Jim McCormick,Cleveland,36
1882,Statistic,Name(s),Team(s),#
