Year,Statistic,Name,Team,#
1945,Base on Balls,Eddie Stanky,Brooklyn,148
1945,Batting Average,Phil Cavarretta,Chicago,.355
1945,Doubles,Tommy Holmes,Boston,47
1945,Hits,Tommy Holmes,Boston,224
1945,Home Runs,Tommy Holmes,Boston,28
1945,On Base Percentage,Phil Cavarretta,Chicago,.449
1945,RBI,Dixie Walker,Brooklyn,124
1945,Runs,Eddie Stanky,Brooklyn,128
1945,Slugging Average,Tommy Holmes,Boston,.577
1945,Stolen Bases,Red Schoendienst,St. Louis,26
1945,Total Bases,Tommy Holmes,Boston,367
1945,Triples,Luis Olmo,Brooklyn,13
1945,Statistic,Name(s),Team(s),#
