Year,Statistic,Name,Team,#
1958,Base on Balls,Richie Ashburn,Philadelphia,97
1958,Batting Average,Richie Ashburn,Philadelphia,.350
1958,Doubles,Orlando Cepeda,San Francisco,38
1958,Hits,Richie Ashburn,Philadelphia,215
1958,Home Runs,Ernie Banks,Chicago,47
1958,On Base Percentage,Richie Ashburn,Philadelphia,.440
1958,RBI,Ernie Banks,Chicago,129
1958,Runs,Willie Mays,San Francisco,121
1958,Slugging Average,Ernie Banks,Chicago,.614
1958,Stolen Bases,Willie Mays,San Francisco,31
1958,Total Bases,Ernie Banks,Chicago,379
1958,Triples,Richie Ashburn,Philadelphia,13
1958,Statistic,Name(s),Team(s),#
