Year,Statistic,Name,Team,#
1923,Base on Balls,George Burns,Cincinnati,101
1923,Batting Average,Rogers Hornsby,St. Louis,.384
1923,Doubles,Edd Roush,Cincinnati,41
1923,Hits,Frankie Frisch,New York,223
1923,Home Runs,Cy Williams,Philadelphia,41
1923,On Base Percentage,Rogers Hornsby,St. Louis,.459
1923,RBI,Irish Meusel,New York,125
1923,Runs,Ross Youngs,New York,121
1923,Slugging Average,Rogers Hornsby,St. Louis,.627
1923,Stolen Bases,Max Carey,Pittsburgh,51
1923,Total Bases,Frankie Frisch,New York,311
1923,Triples,Max Carey,Pittsburgh,19
1923,Statistic,Name(s),Team(s),#
