Year,Statistic,Name,Team,#
1975,Base on Balls,Joe Morgan,Cincinnati,132
1975,Batting Average,Bill Madlock,Chicago,.354
1975,Doubles,Pete Rose,Cincinnati,47
1975,Hits,Dave Cash,Philadelphia,213
1975,Home Runs,Mike Schmidt,Philadelphia,38
1975,On Base Percentage,Joe Morgan,Cincinnati,.471
1975,RBI,Greg Luzinski,Philadelphia,120
1975,Runs,Pete Rose,Cincinnati,112
1975,Slugging Average,Dave Parker,Pittsburgh,.541
1975,Stolen Bases,Davey Lopes,Los Angeles,77
1975,Total Bases,Greg Luzinski,Philadelphia,322
1975,Triples,Ralph Garr,Atlanta,11
1975,Statistic,Name(s),Team(s),#
