Date,Description,Year
July 8,"th, San Francisco Giant Jim Ray Hart tied a modern Major League record with six runs batted in during one inning with all coming in the fifth. The ""bay area brawler"" slammed a three run home run and three run triple and eventually hit for the cycle en route to a 13-0 victory over the Atlanta Braves.",1970
July 8,", Jim Ray Hart hit for the cycle to become the 13th Giants player with a cycle. However, did you know that on this same date he also drove in six runs during the same inning - a feat not accomplished since 1911?",1970
May 12,", A.J. Burnett of the Florida Marlins no-hit the San Diego Padres, yet walked nine batters setting a new National League record. The record he broke belonged to Dock Ellis of the Pittsburgh Pirates who walked eight in his no-hitter tossed on June 12, 1970 versus (yet again) the San Diego Padres.",1970
