Year,Statistic,Name,Team,#
1934,Base on Balls,Arky Vaughan,Pittsburgh,94
1934,Batting Average,Paul Waner,Pittsburgh,.362
1934,Doubles,Kiki Cuyler,Chicago,42
1934,Hits,Paul Waner,Pittsburgh,217
1934,Home Runs,Mel Ott,New York,35
1934,On Base Percentage,Arky Vaughan,Pittsburgh,.431
1934,RBI,Mel Ott,New York,135
1934,Runs,Paul Waner,Pittsburgh,122
1934,Slugging Average,Ripper Collins,St. Louis,.615
1934,Stolen Bases,Pepper Martin,St. Louis,23
1934,Total Bases,Ripper Collins,St. Louis,369
1934,Triples,Joe Medwick,St. Louis,18
1934,Statistic,Name(s),Team(s),#
