Year,Statistic,Name,Team,#
1932,Base on Balls,Mel Ott,New York,100
1932,Batting Average,Lefty O'Doul,Brooklyn,.368
1932,Doubles,Paul Waner,Pittsburgh,62
1932,Hits,Chuck Klein,Philadelphia,226
1932,Home Runs,Chuck Klein,Philadelphia,38
1932,On Base Percentage,Mel Ott,New York,.424
1932,RBI,Don Hurst,Philadelphia,143
1932,Runs,Chuck Klein,Philadelphia,152
1932,Slugging Average,Chuck Klein,Philadelphia,.646
1932,Stolen Bases,Chuck Klein,Philadelphia,20
1932,Total Bases,Chuck Klein,Philadelphia,420
1932,Triples,Babe Herman,Cincinnati,19
1932,Statistic,Name(s),Team(s),#
