Date,Description,Year
May 25,"th, Boston Red Sox icon Ted Williams raised his record-setting batting average to over .400 for the first time. Over the remainder of the season, his quest to outdo Bill Terry (1930) played leapfrog on sports pages around the country with the New York Yankees Joe DiMaggio who was working on a hitting streak of his own.",1941
June 1,", Mel Ott of the New York Giants hit his 400th career home run AND simultaneously drove in his 1,500th career RBI.",1941
