Year,Statistic,Name,Team,#
1917,Base on Balls,George Burns,New York,75
1917,Batting Average,Edd Roush,Cincinnati,.341
1917,Doubles,Heinie Groh,Cincinnati,39
1917,Hits,Heinie Groh,Cincinnati,182
1917,Home Runs,Gavvy Cravath,Philadelphia,12
1917,On Base Percentage,Heinie Groh,Cincinnati,.385
1917,RBI,Heinie Zimmerman,New York,102
1917,Runs,George Burns,New York,103
1917,Slugging Average,Rogers Hornsby,St. Louis,.484
1917,Stolen Bases,Max Carey,Pittsburgh,46
1917,Total Bases,Rogers Hornsby,St. Louis,253
1917,Triples,Rogers Hornsby,St. Louis,17
1917,Statistic,Name(s),Team(s),#
