Year,Statistic,Name,Team,#
1986,Base on Balls,Keith Hernandez,New York,94
1986,Batting Average,Tim Raines,Montreal,.334
1986,Doubles,Von Hayes,Philadelphia,46
1986,Hits,Tony Gwynn,San Diego,211
1986,Home Runs,Mike Schmidt,Philadelphia,37
1986,On Base Percentage,Tim Raines,Montreal,.415
1986,RBI,Mike Schmidt,Philadelphia,119
1986,Runs,Tony Gwynn,San Diego,107
1986,Slugging Average,Mike Schmidt,Philadelphia,.547
1986,Stolen Bases,Vince Coleman,St. Louis,107
1986,Total Bases,Dave Parker,Cincinnati,304
1986,Triples,Mitch Webster,Montreal,13
1986,Statistic,Name(s),Team(s),#
