Year,Statistic,Name,Team,#
2021,Base on Balls,Juan Soto,Washington Nationals,145
2021,Batting Average,Trea Turner,Washington Nationals,.328
2021,Doubles,Bryce Harper,Philadelphia Phillies,42
2021,Hits,Trea Turner,Washington Nationals,195
2021,Home Runs,Fernando Tatis Jr.,San Diego Padres,42
2021,On Base Percentage,Juan Soto,Washington Nationals,.465
2021,RBI,Adam Duvall,Miami Marlins,113
2021,Runs,Freddie Freeman,Atlanta Braves,120
2021,Slugging Average,Bryce Harper,Philadelphia Phillies,.615
2021,Stolen Bases,Trea Turner,Washington Nationals,32
2021,Total Bases,Trea Turner,Washington Nationals,319
2021,Triples,David Peralta,Arizona Diamondbacks,8
2021,Statistic,Name,Team,#
