Date,Description,Year
April 16,"th, Mike Griffin of the Baltimore Orioles became the first player ever to homer in his first Major League at-bat.",1887
October 1,"league leader in games pitched, complete games, wins and shutouts Matt Kilroy won both ends of a doubleheader and set the Major League record for wins in a single season by a lefthanded pitcher.",1887
