Year,Statistic,Name,Team,#
1985,Base on Balls,Dale Murphy,Atlanta,90
1985,Batting Average,Willie McGee,St. Louis,.353
1985,Doubles,Dave Parker,Cincinnati,42
1985,Hits,Willie McGee,St. Louis,216
1985,Home Runs,Dale Murphy,Atlanta,37
1985,On Base Percentage,Pedro Guerrero,Los Angeles,.425
1985,RBI,Dave Parker,Cincinnati,125
1985,Runs,Dale Murphy,Atlanta,118
1985,Slugging Average,Pedro Guerrero,Los Angeles,.577
1985,Stolen Bases,Vince Coleman,St. Louis,110
1985,Total Bases,Dave Parker,Cincinnati,350
1985,Triples,Willie McGee,St. Louis,18
1985,Statistic,Name(s),Team(s),#
