Year,Statistic,Name,Team,#
2011,Base on Balls,Joey Votto,Cincinnati,110
2011,Batting Average,Jose Reyes,New York,.337
2011,Doubles,Joey Votto,Cincinnati,40
2011,Hits,Starlin Castro,Chicago,207
2011,Home Runs,Matt Kemp,Los Angeles,39
2011,On Base Percentage,Joey Votto,Cincinnati,.416
2011,RBI,Matt Kemp,Los Angeles,126
2011,Runs,Matt Kemp,Los Angeles,115
2011,Slugging Average,Ryan Braun,Milwaukee,.597
2011,Stolen Bases,Michael Bourn,Houston / Atlanta,61
2011,Total Bases,Matt Kemp,Los Angeles,353
2011,Triples,Jose Reyes,New York,16
2011,Statistic,Name,Team,#
