Year,Statistic,Name,Team,#
1969,Base on Balls,Jimmy Wynn,Houston,148
1969,Batting Average,Pete Rose,Cincinnati,.348
1969,Doubles,Matty Alou,Pittsburgh,41
1969,Hits,Matty Alou,Pittsburgh,231
1969,Home Runs,Willie McCovey,San Francisco,45
1969,On Base Percentage,Willie McCovey,San Francisco,.458
1969,RBI,Willie McCovey,San Francisco,126
1969,Runs,Bobby Bonds,San Francisco,120
1969,Slugging Average,Willie McCovey,San Francisco,.656
1969,Stolen Bases,Lou Brock,St. Louis,53
1969,Total Bases,Hank Aaron,Atlanta,332
1969,Triples,Roberto Clemente,Pittsburgh,12
1969,Statistic,Name(s),Team(s),#
