Year,Statistic,Name,Team,#
1963,Base on Balls,Eddie Mathews,Milwaukee,124
1963,Batting Average,Tommy Davis,Los Angeles,.326
1963,Doubles,Dick Groat,St. Louis,43
1963,Hits,Vada Pinson,Cincinnati,204
1963,Home Runs,Hank Aaron,Milwaukee,44
1963,On Base Percentage,Eddie Mathews,Milwaukee,.400
1963,RBI,Hank Aaron,Milwaukee,130
1963,Runs,Hank Aaron,Milwaukee,121
1963,Slugging Average,Hank Aaron,Milwaukee,.586
1963,Stolen Bases,Maury Wills,Los Angeles,40
1963,Total Bases,Hank Aaron,Milwaukee,370
1963,Triples,Vada Pinson,Cincinnati,14
1963,Statistic,Name(s),Team(s),#
