Year,Statistic,Name,Team,#
2009,Base on Balls,Adrian Gonzalez,San Diego,119
2009,Batting Average,Hanley Ramirez,Florida,.342
2009,Doubles,Miguel Tejada,Houston,46
2009,Hits,Ryan Braun,Milwaukee,203
2009,Home Runs,Albert Pujols,St. Louis,47
2009,On Base Percentage,Albert Pujols,St. Louis,.443
2009,RBI,Prince Fielder,Milwaukee,141
2009,Runs,Albert Pujols,St. Louis,124
2009,Slugging Average,Albert Pujols,St. Louis,.658
2009,Stolen Bases,Michael Bourn,Houston,61
2009,Total Bases,Albert Pujols,St. Louis,374
2009,Triples,Shane Victorino,Philadelphia,13
2009,Statistic,Name,Team,#
