Date,Description,Year
April 28,"th, Cleveland Indians rookie pitcher Charles Baker surrendered an American League record twenty-three singles in a 13-1 loss to the Chicago White Sox.",1901
June 20,"th, Honus Wagner became the first twentieth century player to steal home twice in a single game, as the Pittsburgh Pirates blanked the New York Giants, 7-0.",1901
July 15,", Christy Mathewson pitched a no-hitter against the Cincinnati Reds. ""Big Six"" was in the second year of his career and would go on to win twenty-games and lead the league with eight shutouts.",1901
