Date,Description,Year
July 13,", Ed Delahanty of the Philadelphia Phillies hit four inside-the-park homers (collecting seven RBIs) off Bill Terry of the Chicago Colts. Despite the standout performance, Delahanty and his teammates still fell 9-8.",1896
April 7,", Pete Cassidy, first baseman / shortstop for the Louisville Colonels, became the first active Major League Baseball player to get an X-ray (broken wrist).",1896
