Year,Statistic,Name,Team,#
2023,Base on Balls,Juan Soto,San Diego Padres,132
2023,Batting Average,Luis Arraez,Miami Marlins,.354
2023,Doubles,Freddie Freeman,Los Angeles Dodgers,59
2023,Hits,Ronald Acuña Jr.,Atlanta Braves,217
2023,Home Runs,Matt Olson,Atlanta Braves,54
2023,On Base Percentage,Ronald Acuña Jr.,Atlanta Braves,.416
2023,RBI,Matt Olson,Atlanta Braves,139
2023,Runs,Ronald Acuña Jr.,Atlanta Braves,149
2023,Slugging Average,Matt Olson,Atlanta Braves,.604
2023,Stolen Bases,Ronald Acuña Jr.,Atlanta Braves,73
2023,Total Bases,Ronald Acuña Jr.,Atlanta Braves,383
2023,Triples,Corbin Carroll,Arizona Diamondbacks,10
2023,Statistic,Name,Team,#
