Year,Statistic,Name,Team,#
2017,Base on Balls,Joey Votto,Cincinnati Reds,134
2017,Batting Average,Charlie Blackmon,Colorado Rockies,.331
2017,Doubles,Nolan Arenado,Colorado Rockies,43
2017,Hits,Charlie Blackmon,Colorado Rockies,213
2017,Home Runs,Giancarlo Stanton,Miami Marlins,59
2017,On Base Percentage,Joey Votto,Cincinnati Reds,.454
2017,RBI,Giancarlo Stanton,Miami Marlins,132
2017,Runs,Charlie Blackmon,Colorado Rockies,137
2017,Slugging Average,Giancarlo Stanton,Miami Marlins,.631
2017,Stolen Bases,Dee Gordon,Miami Marlins,60
2017,Total Bases,Charlie Blackmon,Colorado Rockies,387
2017,Triples,Charlie Blackmon,Colorado Rockies,14
2017,Statistic,Name,Team,#
