Year,Statistic,Name,Team,#
2016,Base on Balls,Paul Goldschmidt,Arizona,110
2016,Batting Average,DJ LeMahieu,Colorado,.348
2016,Doubles,Daniel Murphy,Washington,47
2016,Hits,Jean Segura,Arizona,203
2016,Home Runs,Nolan Arenado,Colorado,41
2016,On Base Percentage,Joey Votto,Cincinnati,.434
2016,RBI,Nolan Arenado,Colorado,133
2016,Runs,Kris Bryant,Chicago,121
2016,Slugging Average,Daniel Murphy,Washington,.595
2016,Stolen Bases,Jonathan Villar,Milwaukee,62
2016,Total Bases,Nolan Arenado,Colorado,352
2016,Triples,Brandon Crawford,San Francisco,11
2016,Statistic,Name,Team,#
