Year,Statistic,Name,Team,#
1979,Base on Balls,Mike Schmidt,Philadelphia,120
1979,Batting Average,Keith Hernandez,St. Louis,.344
1979,Doubles,Keith Hernandez,St. Louis,48
1979,Hits,Garry Templeton,St. Louis,211
1979,Home Runs,Dave Kingman,Chicago,48
1979,On Base Percentage,Keith Hernandez,St. Louis,.421
1979,RBI,Dave Winfield,San Diego,118
1979,Runs,Keith Hernandez,St. Louis,116
1979,Slugging Average,Dave Kingman,Chicago,.613
1979,Stolen Bases,Omar Moreno,Pittsburgh,77
1979,Total Bases,Dave Winfield,San Diego,333
1979,Triples,Garry Templeton,St. Louis,19
1979,Statistic,Name(s),Team(s),#
