Date,Description,Year
May 6,"th, an ""up-and-coming"" pitcher for the Boston Red Sox nicknamed ""The Babe"" hit his first major league homerun off the Yankees Jack Warhop at New York's Polo Grounds.",1915
June 23,"rd, Detroit's Ty Cobb stole home (again) for the fifth time in the month en route to a 4-2 Tiger victory over the St. Louis Browns. ""The Georgia Peach"" would finish the season with ninety-six.",1915
August 18,"th, Wilbur Good became the only Chicago Cub ever to steal second, third, and home — all in the same inning. His teammates followed his ""good"" example and went on to beat the Brooklyn Dodgers 9-0.",1915
