Date,Description,Year
July 4,", Tim Keefe of the New York Metropolitans pitched both ends of a doubleheader and finished with two complete game victories and allowed a total of three hits.",1883
September 12,", Cincinnati Red Stockings first baseman John Reilly hit for the cycle. Seven days later Reilly hit for the cycle a second time and became the first Major League player to hit for the cycle twice during the same season.",1883
