Year,Statistic,Name,Team,#
1983,Base on Balls,Mike Schmidt,Philadelphia,128
1983,Batting Average,Bill Madlock,Pittsburgh,.323
1983,Doubles,Bill Buckner,Chicago,38
1983,Hits,Jose Cruz,Houston,189
1983,Home Runs,Mike Schmidt,Philadelphia,40
1983,On Base Percentage,Mike Schmidt,Philadelphia,.402
1983,RBI,Dale Murphy,Atlanta,121
1983,Runs,Tim Raines,Montreal,133
1983,Slugging Average,Dale Murphy,Atlanta,.540
1983,Stolen Bases,Tim Raines,Montreal,90
1983,Total Bases,Andre Dawson,Montreal,341
1983,Triples,Brett Butler,Atlanta,13
1983,Statistic,Name(s),Team(s),#
