Year,Statistic,Name,Team,#
1976,Base on Balls,Jimmy Wynn,Atlanta,127
1976,Batting Average,Bill Madlock,Chicago,.339
1976,Doubles,Pete Rose,Cincinnati,42
1976,Hits,Pete Rose,Cincinnati,215
1976,Home Runs,Mike Schmidt,Philadelphia,38
1976,On Base Percentage,Joe Morgan,Cincinnati,.453
1976,RBI,George Foster,Cincinnati,121
1976,Runs,Pete Rose,Cincinnati,130
1976,Slugging Average,Joe Morgan,Cincinnati,.576
1976,Stolen Bases,Davey Lopes,Los Angeles,63
1976,Total Bases,Mike Schmidt,Philadelphia,306
1976,Triples,Dave Cash,Philadelphia,12
1976,Statistic,Name(s),Team(s),#
