Year,Statistic,Name,Team,#
2010,Base on Balls,Prince Fielder,Milwaukee,114
2010,Batting Average,Carlos Gonzalez,Colorado,.336
2010,Doubles,Jayson Werth,Philadelphia,46
2010,Hits,Carlos Gonzalez,Colorado,197
2010,Home Runs,Albert Pujols,St. Louis,42
2010,On Base Percentage,Joey Votto,Cincinnati,.424
2010,RBI,Albert Pujols,St. Louis,118
2010,Runs,Albert Pujols,St. Louis,115
2010,Slugging Average,Joey Votto,Cincinnati,.600
2010,Stolen Bases,Michael Bourn,Houston,52
2010,Total Bases,Carlos Gonzalez,Colorado,351
2010,Triples,Dexter Fowler,Colorado,14
2010,Statistic,Name,Team,#
