Year,Statistic,Name,Team,#
1978,Base on Balls,Jeff Burroughs,Atlanta,117
1978,Batting Average,Dave Parker,Pittsburgh,.334
1978,Doubles,Pete Rose,Cincinnati,51
1978,Hits,Steve Garvey,Los Angeles,202
1978,Home Runs,George Foster,Cincinnati,40
1978,On Base Percentage,Jeff Burroughs,Atlanta,.432
1978,RBI,George Foster,Cincinnati,120
1978,Runs,Ivan DeJesus,Chicago,104
1978,Slugging Average,Dave Parker,Pittsburgh,.585
1978,Stolen Bases,Omar Moreno,Pittsburgh,71
1978,Total Bases,Dave Parker,Pittsburgh,340
1978,Triples,Garry Templeton,St. Louis,13
1978,Statistic,Name(s),Team(s),#
