Date,Description,Year
October 8,"th, three teams played in a single double header at Chicago. Game one pitted the hometown Orphans against the Cleveland Spiders as Jake Taylor tossed his first shut out and thirty-ninth complete game of the season en route to a 13-0 Chicago victory. Game two matched the winners against the Louisville Colonels and ended with another 7-3 Chicago decision, after the game was called due to darkness after only five innings.",1899
April 30,", the largest crowd to date watched the Chicago Orphans defeat the St. Louis Perfectos 4-0. The fans, 27,849 in total, watched from the outfield and balls hit into the crowd were counted as singles.",1899
