Date,Description,Year
May 12,"th, the Milwaukee Brewers and Minnesota Twins went head-to-head for twenty-one innings before the one A.M. curfew halted play with the score 3-3. Both teams combined to tie the Major League record for intentional walks during an extra-inning game with seven and the Twins went a step further and tied their own club record by stranding twenty-three men on base. The following day play resumed as the Brewers scored in the top of the twenty-second to win 4-3, but the Twins prevailed with a 4-3 victory of their own in the second outing after fifteen innings. At the end of the day, both games tallied nine hours and twenty-three minutes setting an American League record for the most consecutive innings ever played in a two-day span.",1972
June 4,th belonged to the pitchers as a Major League record eight shutouts were pitched in sixteen games. Five took place in the American League and three in the National League with two being recorded by the Oakland Athletics who swept the Baltimore Orioles twice with a pair of identical 2-0 decisions.,1972
September 30,"th, Roberto Clemente doubled to left-center off of the New York Mets' John Matlack at Three Rivers Stadium for his final at-bat and career hit number three-thousand. The Pittsburgh Pirates went on to win 5-0 and ""The Great One"" went on the list with Ty Cobb, Stan Musial, Tris Speaker, Honus Wagner, Hank Aaron, Eddie Collins, Napoleon Lajoie, Willie Mays, Paul Waner, and Adrian Anson as the newest member of the ""3,000 hit club"".",1972
April 16,", Burt Hooten of the Chicago Cubs no-hit the Phillies 4-to-0 on a freezing cold day. Hooten, who was in his second season, was only pitching his fourth career game and he won the gem using his ""knuckle-curve"" pitch.",1972
June 4,", the Los Angeles Dodgers retired three uniform numbers: #32 - worn by Sandy Koufax, #39 - worn by Roy Campanella, and #42 - worn by Jackie Robinson.",1972
