Date,Description,Year
April 4,"th, foreign ministers from Belgium, Canada, Denmark, France, Great Britain, Iceland, Italy, Luxembourg, the Netherlands, Norway, Portugal and the United States formally signed the North Atlantic Treaty to create a worldwide coalition known as NATO. The alliance became necessary between nations of Western Europe and the United States to help deter the Soviet Union from further aggressive posturing. Article 5 of the treaty stated that an attack against one member of the coalition would be considered an attack against them all.",1949
May 1,"st, Elmer Valo of the Philadelphia Athletics became the first American League player to post two bases-loaded triples in a single game during a 15-9 win over the Washington Senators. Later in the season, Valo hit a third, tying the Major League record previously set by Shano Collins in 1918.",1949
September 15,"th, Pittsburgh pitcher Ernie Bonham died following an emergency appendectomy and stomach surgery. His untimely death shocked the Pirates organization as Bonham had just pitched eighteen days before with a clutch, 8-2 win over the Philadelphia Phillies. Mrs. Bonham later became the first spouse to receive benefits under the major league players' pension plan, which provided the widow with a check for $90 a month over the next ten years.",1949
September 19,", Ralph Kiner hit his 50th home run of the season and simultaneously became the first National League player in history to reach the fifty single season home run plateau twice during a career.",1949
