Year,Statistic,Name,Team,#
1944,Base on Balls,Augie Galan,Brooklyn,101
1944,Batting Average,Dixie Walker,Brooklyn,.357
1944,Doubles,Stan Musial,St. Louis,51
1944,Hits,Phil Cavarretta,Chicago,197
1944,Home Runs,Bill Nicholson,Chicago,33
1944,On Base Percentage,Stan Musial,St. Louis,.440
1944,RBI,Bill Nicholson,Chicago,122
1944,Runs,Bill Nicholson,Chicago,116
1944,Slugging Average,Stan Musial,St. Louis,.549
1944,Stolen Bases,Johnny Barrett,Pittsburgh,28
1944,Total Bases,Bill Nicholson,Chicago,317
1944,Triples,Johnny Barrett,Pittsburgh,19
1944,Statistic,Name(s),Team(s),#
