Date,Description,Year
March 8,", a script from a Hollywood television series actually occurred when a Malaysian Airline flight from Kuala Lumpur simply vanished, leaving no evidence of it's existence, no crash site to investigate and no trace of 239 passengers who were on board the still not found airliner.",2014
August 17,", Michael Cuddyer hit for the cycle while wearing a Colorado Rockies (NL) uniform. Five years earlier, Cuddyer hit for the cycle wearing a Minnesota Twins (AL) uniform making him one of only three players (joining John Olerud & Bob Watson) in baseball history to hit for the cycle in each league.",2014
