Year,Statistic,Name,Team,#
1907,Complete Games,Stoney McGlynn,St. Louis,33
1907,ERA,Jack Pfiester,Chicago,1.15
1907,Games,Joe McGinnity,New York,47
1907,Saves,Joe McGinnity,New York,4
1907,Shutouts,Christy Mathewson,New York,8
1907,Strikeouts,Christy Mathewson,New York,178
1907,Winning Percentage,Ed Reulbach,Chicago,.810
1907,Wins,Christy Mathewson,New York,24
1907,Statistic,Name(s),Team(s),#
