Year,Statistic,Name,Team,#
2015,Base on Balls,Joey Votto,Cincinnati,143
2015,Batting Average,Dee Gordon,Miami,.333
2015,Doubles,Matt Carpenter,St. Louis,44
2015,Hits,Dee Gordon,Miami,205
2015,Home Runs,Nolan Arenado,Colorado,42
2015,On Base Percentage,Bryce Harper,Washington,.460
2015,RBI,Nolan Arenado,Colorado,130
2015,Runs,Bryce Harper,Washington,118
2015,Slugging Average,Bryce Harper,Washington,.649
2015,Stolen Bases,Dee Gordon,Miami,58
2015,Total Bases,Nolan Arenado,Colorado,354
2015,Triples,David Peralta,Arizona,10
2015,Statistic,Name,Team,#
