Year,Statistic,Name,Team,#
1940,Base on Balls,Elbie Fletcher,Pittsburgh,119
1940,Batting Average,Stan Hack,Chicago,.317
1940,Doubles,Frank McCormick,Cincinnati,44
1940,Hits,Stan Hack,Chicago,191
1940,Home Runs,Johnny Mize,St. Louis,43
1940,On Base Percentage,Elbie Fletcher,Pittsburgh,.418
1940,RBI,Johnny Mize,St. Louis,137
1940,Runs,Arky Vaughan,Pittsburgh,113
1940,Slugging Average,Johnny Mize,St. Louis,.636
1940,Stolen Bases,Lonny Frey,Cincinnati,22
1940,Total Bases,Johnny Mize,St. Louis,368
1940,Triples,Arky Vaughan,Pittsburgh,15
1940,Statistic,Name(s),Team(s),#
