Date,Description,Year
May 30,"th, Boston Beaneater Bob Lowe became the first player ever to hit four home runs in a single game. All four were hit over the wall off Cincinnati's Elton Chamberlain as Boston went on to a 20-11 victory. Teammate Hugh Duffy capped off a phenomenal season (under modern rules) after posting a .440 batting average, a .690 slugging average, eighteen home runs, one-hundred forty-five runs batted in, fifteen triples and fifty-one doubles. Unfortunately his team finished in third place behind the Baltimore Orioles and New York Giants.",1894
May 30,", Bobby Lowe, second baseman for the Boston Beaneaters, became the first Major League Baseball player to hit four home runs during the same game!",1894
August 6,", Jimmy Bannon, right fielder for the Boston Beaneaters, hit a grand slam. On August 7, 1894, Bannon hit another grand slam and became the first player in baseball to ever hit grand slams during consecutive games.",1894
