Date,Description,Year
April 17,"th, New York Giants player-manager Mel Ott set several records during his team's 11-6 win over the Boston Braves. In nine-innings, Ott collected a double, two walks and three runs to achieve several career marks (for a single player with one team) including one-thousand twenty-six extra-base hits, two-thousand seventy-six total bases, one-thousand seven-hundred seventy-eight RBIs, one-thousand seven-hundred eighty-seven runs and one-thousand six-hundred thirty-one walks.",1945
October 23,"rd, Brooklyn Dodgers owner Branch Rickey announced the signing of Jackie Robinson as the first African-American to play in the Major Leagues. Over the course of a distinguished ten year career, Robinson went go on to lead the Dodgers to six National League titles and one World Series championship. A man of many ""firsts"", Robinson also became the first black player to be inducted into the Baseball Hall of Fame in 1962.",1945
July 27,", the Chicago Cubs acquired the last piece of their pennant puzzle when they purchased Hank Borowy from the New York Yankees for approximately $97,000. Larry MacPhail commented, ""This was a good chance to sell a pitcher who never has been a winner in the last month or so of a season."" Borowy responded and finished the season 11-2 with the Cubs and a league leading 2.13 earned run average.",1945
September 9,", ""Double X"" (Jimmie Foxx) hit the final two home runs of his Major League career against the Pirates during the doubleheader. The final, and 534th of his career, came against Johnny Lanning.",1945
