Year,Statistic,Name,Team,#
1905,Complete Games,Irv Young,Boston,41
1905,ERA,Christy Mathewson,New York,1.28
1905,Games,Joe McGinnity,New York,46
1905,Saves,Claud Elliott,New York,6
1905,Shutouts,Christy Mathewson,New York,8
1905,Strikeouts,Christy Mathewson,New York,206
1905,Winning Percentage,Sam Leever,Pittsburgh,.800
1905,Wins,Christy Mathewson,New York,31
1905,Statistic,Name(s),Team(s),#
